MAP_SYMBOL_delay,CTYREG_EST_delay,STATE_AVG_delay,POPOVER18_delay,HSR_SYMBOL_delay,DELMCC_delay,MCONFINT_delay,FIPS,TRACT_NAME_dru,COUNTY_NAME_dru,POD_DEATH_ADJRATE_dru,POD_DEATH_L95CI_dru,POD_DEATH_U95CI_dru,POD_DEATH_STATEADJRATE_dru,POD_DEATH_STATEL95CI_dru,POD_DEATH_STATEU95CI_dru,POD_DISPLAY_dru,FPHLTH_hea,POPOVER18_hea,MAP_SYMBOL_hea,CTYREG_EST_hea,STATE_AVG_hea,HSR_SYMBOL_hea,MCONFINT_hea,POPOVER18_men,MAP_SYMBOL_men,CTYREG_EST_men,STATE_AVG_men,HSR_SYMBOL_men,MNTLD_men,MCONFINT_men,PHYSH_phy,POPOVER18_phy,MAP_SYMBOL_phy,CTYREG_EST_phy,STATE_AVG_phy,HSR_SYMBOL_phy,MCONFINT_phy,TRACT_NAME_sui,COUNTY_NAME_sui,SUICIDE_ADJRATE_sui,SUICIDE_L95CI_sui,SUICIDE_U95CI_sui,SUICIDE_STATEADJRATE_sui,SUICIDE_SL95CI_sui,SUICIDE_SU95CI_sui,SUICIDE_DISPLAY_sui
Lowest Quintile,County/Regional Estimate 7.8% (95% C.I.: 3.2 - 12.4),State Estimate 12.9% (95% C.I.: 12.4 - 13.3),2366,Lowest Quintile,8.8,95% C.I.: 7.6 - 11.1,8049000100,"Census Tract 1, Grand County, Colorado",GRAND,,,,8.06,7.72,8.4,No Events or Data Suppressed,4.1,2366,Lowest Quintile,County/Regional Estimate 6.3% (95% C.I.: 1.7 - 10.9),State Estimate 13.7% (95% C.I.: 13.3 - 14.1),Second Quintile,95% C.I.: 3.4 - 6,2366,Lowest Quintile,County/Regional Estimate 8.2% (95% C.I.: 2.6 - 13.7),State Estimate 9.4% (95% C.I.: 9.1 - 9.8),Middle Quintile,6.5,95% C.I.: 5.5 - 8.8,10.4,2366,Fourth Quintile,County/Regional Estimate 3.5% (95% C.I.: 0.5 - 6.6),State Estimate 9.3% (95% C.I.: 9.0 - 9.6),Highest Quintile,95% C.I.: 9.6 - 11.8,"Census Tract 1, Grand County, Colorado",GRAND,42.199,15.4605,82.07799999999999,19.48,18.95,20.01,Not Different Than State Average
Lowest Quintile,County/Regional Estimate 8.2% (95% C.I.: 4 - 12.5),State Estimate 12.9% (95% C.I.: 12.4 - 13.3),1170,Second Quintile,8.3,95% C.I.: 6.8 - 12,8081000600,"Census Tract 6, Moffat County, Colorado",MOFFAT,0.0,0.0,0.0,8.06,7.72,8.4,Lower Than State Average,16.9,1170,Highest Quintile,County/Regional Estimate 14.1% (95% C.I.: 9.7 - 18.5),State Estimate 13.7% (95% C.I.: 13.3 - 14.1),Highest Quintile,95% C.I.: 14.9 - 20.9,1170,Lowest Quintile,County/Regional Estimate 6% (95% C.I.: 3.4 - 8.7),State Estimate 9.4% (95% C.I.: 9.1 - 9.8),Lowest Quintile,6.8,95% C.I.: 5.8 - 10.1,11.3,1170,Highest Quintile,County/Regional Estimate 9.7% (95% C.I.: 6.5 - 12.9),State Estimate 9.3% (95% C.I.: 9.0 - 9.6),Highest Quintile,95% C.I.: 10 - 14.8,"Census Tract 6, Moffat County, Colorado",MOFFAT,,,,19.48,18.95,20.01,No Events or Data Suppressed
Lowest Quintile,County/Regional Estimate 8.2% (95% C.I.: 4 - 12.5),State Estimate 12.9% (95% C.I.: 12.4 - 13.3),3086,Second Quintile,8.4,95% C.I.: 7 - 10.2,8081000500,"Census Tract 5, Moffat County, Colorado",MOFFAT,20.6386,5.9417,44.198,8.06,7.72,8.4,Not Different Than State Average,12.6,3086,Middle Quintile,County/Regional Estimate 14.1% (95% C.I.: 9.7 - 18.5),State Estimate 13.7% (95% C.I.: 13.3 - 14.1),Fourth Quintile,95% C.I.: 11.2 - 14.5,3086,Lowest Quintile,County/Regional Estimate 6% (95% C.I.: 3.4 - 8.7),State Estimate 9.4% (95% C.I.: 9.1 - 9.8),Lowest Quintile,6.1,95% C.I.: 5.2 - 7.7,10.5,3086,Fourth Quintile,County/Regional Estimate 9.7% (95% C.I.: 6.5 - 12.9),State Estimate 9.3% (95% C.I.: 9.0 - 9.6),Highest Quintile,95% C.I.: 9.2 - 12.3,"Census Tract 5, Moffat County, Colorado",MOFFAT,39.424,17.4187,70.288,19.48,18.95,20.01,Not Different Than State Average
Lowest Quintile,County/Regional Estimate 8.2% (95% C.I.: 4 - 12.5),State Estimate 12.9% (95% C.I.: 12.4 - 13.3),3195,Second Quintile,9.2,95% C.I.: 7.7 - 12.1,8081000400,"Census Tract 4, Moffat County, Colorado",MOFFAT,0.0,0.0,0.0,8.06,7.72,8.4,Lower Than State Average,14.3,3195,Fourth Quintile,County/Regional Estimate 14.1% (95% C.I.: 9.7 - 18.5),State Estimate 13.7% (95% C.I.: 13.3 - 14.1),Fourth Quintile,95% C.I.: 12.6 - 17.1,3195,Lowest Quintile,County/Regional Estimate 6% (95% C.I.: 3.4 - 8.7),State Estimate 9.4% (95% C.I.: 9.1 - 9.8),Lowest Quintile,6.0,95% C.I.: 5.1 - 8.4,10.2,3195,Fourth Quintile,County/Regional Estimate 9.7% (95% C.I.: 6.5 - 12.9),State Estimate 9.3% (95% C.I.: 9.0 - 9.6),Fourth Quintile,95% C.I.: 8.9 - 12.8,"Census Tract 4, Moffat County, Colorado",MOFFAT,13.559000000000001,2.5013,33.441,19.48,18.95,20.01,Not Different Than State Average
Lowest Quintile,County/Regional Estimate 8.2% (95% C.I.: 4 - 12.5),State Estimate 12.9% (95% C.I.: 12.4 - 13.3),2247,Lowest Quintile,7.7,95% C.I.: 6.5 - 10.5,8081000300,"Census Tract 3, Moffat County, Colorado",MOFFAT,,,,8.06,7.72,8.4,No Events or Data Suppressed,15.2,2247,Fourth Quintile,County/Regional Estimate 14.1% (95% C.I.: 9.7 - 18.5),State Estimate 13.7% (95% C.I.: 13.3 - 14.1),Highest Quintile,95% C.I.: 13.6 - 18.3,2247,Lowest Quintile,County/Regional Estimate 6% (95% C.I.: 3.4 - 8.7),State Estimate 9.4% (95% C.I.: 9.1 - 9.8),Second Quintile,8.1,95% C.I.: 7 - 10.7,12.1,2247,Highest Quintile,County/Regional Estimate 9.7% (95% C.I.: 6.5 - 12.9),State Estimate 9.3% (95% C.I.: 9.0 - 9.6),Highest Quintile,95% C.I.: 10.9 - 14.9,"Census Tract 3, Moffat County, Colorado",MOFFAT,23.784000000000002,5.2853,55.57,19.48,18.95,20.01,Not Different Than State Average
Second Quintile,County/Regional Estimate 21.8% (95% C.I.: 0 - 46),State Estimate 12.9% (95% C.I.: 12.4 - 13.3),1118,Middle Quintile,11.5,95% C.I.: 8.9 - 16.7,8057955600,"Census Tract 9556, Jackson County, Colorado",JACKSON,,,,8.06,7.72,8.4,No Events or Data Suppressed,17.2,1118,Highest Quintile,County/Regional Estimate 12.7% (95% C.I.: 0 - 26.3),State Estimate 13.7% (95% C.I.: 13.3 - 14.1),Highest Quintile,95% C.I.: 0 - 22.8,1118,Highest Quintile,County/Regional Estimate 8.4% (95% C.I.: 0 - 21.3),State Estimate 9.4% (95% C.I.: 9.1 - 9.8),Highest Quintile,11.9,95% C.I.: 9.7 - 17,2.2,1118,Lowest Quintile,County/Regional Estimate 1.8% (95% C.I.: 0 - 4),State Estimate 9.3% (95% C.I.: 9.0 - 9.6),Lowest Quintile,95% C.I.: 0 - 5.9,"Census Tract 9556, Jackson County, Colorado",JACKSON,0.0,0.0,0.0,19.48,18.95,20.01,Lower Than State Average
Highest Quintile,County/Regional Estimate 18% (95% C.I.: 6.5 - 29.5),State Estimate 12.9% (95% C.I.: 12.4 - 13.3),1508,Highest Quintile,16.1,95% C.I.: 14.1 - 18.8,8121924100,"Census Tract 9241, Washington County, Colorado",WASHINGTON,0.0,0.0,0.0,8.06,7.72,8.4,Lower Than State Average,8.9,1508,Lowest Quintile,County/Regional Estimate 11.8% (95% C.I.: 4.9 - 18.7),State Estimate 13.7% (95% C.I.: 13.3 - 14.1),Lowest Quintile,95% C.I.: 7.4 - 11.1,1508,Middle Quintile,County/Regional Estimate 10% (95% C.I.: 1.2 - 18.8),State Estimate 9.4% (95% C.I.: 9.1 - 9.8),Highest Quintile,9.5,95% C.I.: 7.7 - 12,10.1,1508,Fourth Quintile,County/Regional Estimate 11.1% (95% C.I.: 4.3 - 17.9),State Estimate 9.3% (95% C.I.: 9.0 - 9.6),Middle Quintile,95% C.I.: 8.2 - 12.7,"Census Tract 9241, Washington County, Colorado",WASHINGTON,,,,19.48,18.95,20.01,No Events or Data Suppressed
Middle Quintile,County/Regional Estimate 14.1% (95% C.I.: 8.8 - 19.4),State Estimate 12.9% (95% C.I.: 12.4 - 13.3),1564,Middle Quintile,13.1,95% C.I.: 11.8 - 15.2,8107000800,"Census Tract 8, Routt County, Colorado",ROUTT,0.0,0.0,0.0,8.06,7.72,8.4,Lower Than State Average,10.5,1564,Second Quintile,County/Regional Estimate 11.4% (95% C.I.: 7 - 15.8),State Estimate 13.7% (95% C.I.: 13.3 - 14.1),Second Quintile,95% C.I.: 9.2 - 12.3,1564,Second Quintile,County/Regional Estimate 8.4% (95% C.I.: 4.7 - 12.1),State Estimate 9.4% (95% C.I.: 9.1 - 9.8),Middle Quintile,8.5,95% C.I.: 7.5 - 10.2,7.6,1564,Second Quintile,County/Regional Estimate 6.9% (95% C.I.: 3.6 - 10.3),State Estimate 9.3% (95% C.I.: 9.0 - 9.6),Middle Quintile,95% C.I.: 6.6 - 9,"Census Tract 8, Routt County, Colorado",ROUTT,0.0,0.0,0.0,19.48,18.95,20.01,Lower Than State Average
Highest Quintile,County/Regional Estimate 14.1% (95% C.I.: 8.8 - 19.4),State Estimate 12.9% (95% C.I.: 12.4 - 13.3),4344,Highest Quintile,15.8,95% C.I.: 14 - 18.4,8107000700,"Census Tract 7, Routt County, Colorado",ROUTT,,,,8.06,7.72,8.4,No Events or Data Suppressed,12.1,4344,Middle Quintile,County/Regional Estimate 11.4% (95% C.I.: 7 - 15.8),State Estimate 13.7% (95% C.I.: 13.3 - 14.1),Middle Quintile,95% C.I.: 10.4 - 13.9,4344,Highest Quintile,County/Regional Estimate 8.4% (95% C.I.: 4.7 - 12.1),State Estimate 9.4% (95% C.I.: 9.1 - 9.8),Highest Quintile,11.0,95% C.I.: 9.5 - 12.9,9.3,4344,Middle Quintile,County/Regional Estimate 6.9% (95% C.I.: 3.6 - 10.3),State Estimate 9.3% (95% C.I.: 9.0 - 9.6),Fourth Quintile,95% C.I.: 8 - 10.8,"Census Tract 7, Routt County, Colorado",ROUTT,21.669,7.3129,43.633,19.48,18.95,20.01,Not Different Than State Average
Fourth Quintile,County/Regional Estimate 14.1% (95% C.I.: 8.8 - 19.4),State Estimate 12.9% (95% C.I.: 12.4 - 13.3),3446,Fourth Quintile,15.1,95% C.I.: 13.6 - 17.5,8107000500,"Census Tract 5, Routt County, Colorado",ROUTT,,,,8.06,7.72,8.4,No Events or Data Suppressed,11.3,3446,Second Quintile,County/Regional Estimate 11.4% (95% C.I.: 7 - 15.8),State Estimate 13.7% (95% C.I.: 13.3 - 14.1),Middle Quintile,95% C.I.: 9.9 - 13.3,3446,Fourth Quintile,County/Regional Estimate 8.4% (95% C.I.: 4.7 - 12.1),State Estimate 9.4% (95% C.I.: 9.1 - 9.8),Highest Quintile,10.2,95% C.I.: 8.9 - 12.1,9.1,3446,Middle Quintile,County/Regional Estimate 6.9% (95% C.I.: 3.6 - 10.3),State Estimate 9.3% (95% C.I.: 9.0 - 9.6),Fourth Quintile,95% C.I.: 8 - 10.7,"Census Tract 5, Routt County, Colorado",ROUTT,,,,19.48,18.95,20.01,No Events or Data Suppressed
Highest Quintile,County/Regional Estimate 14.1% (95% C.I.: 8.8 - 19.4),State Estimate 12.9% (95% C.I.: 12.4 - 13.3),1467,Highest Quintile,16.0,95% C.I.: 14.1 - 18.4,8107000200,"Census Tract 2, Routt County, Colorado",ROUTT,0.0,0.0,0.0,8.06,7.72,8.4,Lower Than State Average,11.2,1467,Second Quintile,County/Regional Estimate 11.4% (95% C.I.: 7 - 15.8),State Estimate 13.7% (95% C.I.: 13.3 - 14.1),Middle Quintile,95% C.I.: 9.8 - 13.2,1467,Middle Quintile,County/Regional Estimate 8.4% (95% C.I.: 4.7 - 12.1),State Estimate 9.4% (95% C.I.: 9.1 - 9.8),Fourth Quintile,9.1,95% C.I.: 7.8 - 11,8.2,1467,Second Quintile,County/Regional Estimate 6.9% (95% C.I.: 3.6 - 10.3),State Estimate 9.3% (95% C.I.: 9.0 - 9.6),Middle Quintile,95% C.I.: 7 - 9.9,"Census Tract 2, Routt County, Colorado",ROUTT,34.302,7.0383,82.083,19.48,18.95,20.01,Not Different Than State Average
Highest Quintile,County/Regional Estimate 14.1% (95% C.I.: 8.8 - 19.4),State Estimate 12.9% (95% C.I.: 12.4 - 13.3),2537,Highest Quintile,15.5,95% C.I.: 13.6 - 18,8107000400,"Census Tract 4, Routt County, Colorado",ROUTT,,,,8.06,7.72,8.4,No Events or Data Suppressed,9.8,2537,Lowest Quintile,County/Regional Estimate 11.4% (95% C.I.: 7 - 15.8),State Estimate 13.7% (95% C.I.: 13.3 - 14.1),Lowest Quintile,95% C.I.: 8.5 - 11.8,2537,Second Quintile,County/Regional Estimate 8.4% (95% C.I.: 4.7 - 12.1),State Estimate 9.4% (95% C.I.: 9.1 - 9.8),Middle Quintile,8.2,95% C.I.: 7.1 - 10.3,7.3,2537,Lowest Quintile,County/Regional Estimate 6.9% (95% C.I.: 3.6 - 10.3),State Estimate 9.3% (95% C.I.: 9.0 - 9.6),Second Quintile,95% C.I.: 6.3 - 9,"Census Tract 4, Routt County, Colorado",ROUTT,22.416999999999998,6.3581,48.269,19.48,18.95,20.01,Not Different Than State Average
Fourth Quintile,County/Regional Estimate 14.1% (95% C.I.: 8.8 - 19.4),State Estimate 12.9% (95% C.I.: 12.4 - 13.3),2359,Fourth Quintile,14.9,95% C.I.: 13.4 - 16.6,8107000600,"Census Tract 6, Routt County, Colorado",ROUTT,,,,8.06,7.72,8.4,No Events or Data Suppressed,9.9,2359,Lowest Quintile,County/Regional Estimate 11.4% (95% C.I.: 7 - 15.8),State Estimate 13.7% (95% C.I.: 13.3 - 14.1),Second Quintile,95% C.I.: 8.7 - 11.3,2359,Second Quintile,County/Regional Estimate 8.4% (95% C.I.: 4.7 - 12.1),State Estimate 9.4% (95% C.I.: 9.1 - 9.8),Middle Quintile,8.7,95% C.I.: 7.6 - 10.1,7.6,2359,Second Quintile,County/Regional Estimate 6.9% (95% C.I.: 3.6 - 10.3),State Estimate 9.3% (95% C.I.: 9.0 - 9.6),Middle Quintile,95% C.I.: 6.8 - 8.8,"Census Tract 6, Routt County, Colorado",ROUTT,17.953,2.9751,45.55,19.48,18.95,20.01,Not Different Than State Average
